169	5239	12
8717	6473	0
17005	1827	1
12	3781	11
22273	9848	14
103	5345	3
42859	9009	16
165	9728	0
446	6039	4
1539	1812	17
333	5855	7
14	7588	31
101	5487	10
12	264	16
3498	457	26
8226	2749	0
16	6862	8
25893	7963	20
1589	3801	3
494	5898	6
107	7706	0
37881	4805	11
107	8951	0
3370	8872	7
375	1175	10
120	1886	6
8013	292	11
101	99	6
19914	1591	23
445	9692	9
12831	18	23
5907	4650	2
149	5688	1
9008	4747	3
101	4683	4
251	7818	1
2070	9114	1
6268	4436	8
108	9492	17
6900	4646	15
101	5337	33
282	9338	17
16503	759	0
12	2529	5
356	624	12
4428	1622	8
1789	4569	4
4181	7994	8
2978	1143	1
27665	6877	13
14	5453	10
7927	6267	14
117	1348	12
136	7166	2
3092	1034	0
101	8334	3
6604	1358	13
12	3182	17
20875	9945	32
40176	4297	4
128	9544	1
3990	4972	0
30447	6529	11
111	1016	22
13737	8228	17
309	777	13
2	5980	7
129	6757	13
377	8162	13
16552	3849	10
14	9387	5
398	5257	6
9	8649	37
129	7694	17
12	128	2
6493	464	20
109	7003	3
2814	3565	5
4710	5208	2
1875	2632	20
106	8958	8
9457	1944	23
6854	8594	29
2785	7429	11
6014	7168	23
101	6954	3
5420	1648	4
27829	5606	4
417	9636	2
14	7950	17
105	5763	1
1222	3835	2
9505	1067	8
13231	1428	8
101	6507	21
12542	4749	10
114	8545	12
33560	9795	12
594	5344	10
12	6	20
6220	8605	22
8660	6243	0
7733	495	0
34168	3801	22
101	7930	33
3351	4879	8
3689	2015	6
16648	4985	7
27362	3077	1
34572	9425	5
10231	3238	15
19272	2395	0
4120	581	10
109	983	3
2580	2343	27
104	4715	2
8	862	6
2260	1470	4
782	844	12
384	2220	5
9507	2441	4
24033	6631	0
103	3557	17
14	4133	7
326	6287	1
21447	1055	6
1232	8687	8
20954	1128	1
1894	9454	11
7744	479	0
21995	5435	20
31814	6166	11
511	9637	10
7148	8568	5
5532	4927	6
104	9505	17
603	452	8
105	6569	3
1597	7265	3
8695	6376	0
22560	1794	17
4131	6698	7
250	1133	11
42869	8844	2
965	3812	4
5596	1678	4
28400	5792	8
101	3337	6
123	83	6
2678	1886	7
26551	151	10
14673	8563	9
7163	8414	28
250	2529	6
487	3350	18
1121	566	16
857	8809	4
2623	3856	8
14	1797	19
101	5254	23
177	4237	6
17366	4340	8
618	5698	5
515	5529	3
37132	2594	3
14	8964	8
197	6823	4
104	780	18
7826	1084	5
101	1953	5
41555	9161	12
33571	5638	16
454	1056	20
12554	2417	2
113	1289	4
103	4366	12
31112	8676	11
7481	2863	12
16969	8204	16
14	7017	12
1055	7297	13
1514	9280	14
31027	2398	6
125	9318	3
2838	2153	3
3327	1895	29
42620	2033	14
2628	4587	12
33597	5019	14
127	4609	0
525	2733	7
101	9448	10
136	763	4
108	6515	6
39266	1512	11
103	9697	1
10646	6821	9
13006	6344	9
121	5529	1
17336	1284	0
126	9091	9
476	2957	8
111	5651	3
446	9430	16
22458	9397	10
14	5889	9
113	6408	21
104	3365	1
6496	6945	3
142	7686	4
111	8051	16
102	544	22
5177	7610	7
12	2410	6
12	9710	18
8	2416	19
129	6474	4
14	6348	18
14	5101	23
726	8640	6
101	395	15
9051	4846	5
2279	573	7
9	1054	14
146	9472	9
109	3190	2
1067	9972	12
101	559	5
127	5448	0
101	3776	2
28962	8792	4
1027	3729	6
2348	8693	33
2976	3456	7
1041	3298	14
30483	1759	3
12	9305	2
12	2360	10
21790	1276	10
12	6324	2
606	5268	15
965	6973	6
6027	146	7
21610	7423	11
158	3335	6
2707	4050	4
14	7441	10
123	9608	3
4735	7799	17
157	5226	7
3401	7870	11
115	8630	4
139	993	10
1784	7803	15
35856	6256	25
104	985	28
12	9439	20
2062	7872	4
19108	8142	1
3302	5159	9
416	943	4
8	1198	18
4977	863	15
21248	4162	0
43233	9620	7
25298	8806	0
139	7684	19
4872	1131	5
8831	6789	1
12211	809	10
14	2608	10
33782	2592	13
9	9725	32
115	2106	6
2830	7347	5
104	9624	5
2166	1120	4
1960	4687	4
647	1162	3
105	2873	1
536	4643	25
108	7499	2
8628	641	7
14	3675	22
59	3066	10
6286	1356	4
2899	1411	1
284	8547	4
34840	152	15
18012	1240	10
450	6353	4
33055	2894	6
12	2587	2
12	8372	8
3222	3089	1
1461	8173	11
28756	2639	7
14	6744	10
